Movie,Year,IMDb,Rating,Runtime,Genre
Interstellar,2014,8.6,PG-13,169,"Adventure, Drama, Sci-Fi"
Gladiator,2000,8.5,R,155,"Action, Adventure, Drama"
The Croods,2013,7.2,PG,98,"Animation, Adventure, Comedy"
Sherlock Holmes: A Game of Shadows,2011,7.4,PG-13,129,"Action, Adventure, Mystery"
The Day After Tomorrow,2004,6.4,PG-13,124,"Action, Adventure, Sci-Fi"
Mr. & Mrs. Smith,2005,6.5,PG-13,120,"Action, Comedy, Crime"
Snow White and the Seven Dwarfs,1937,7.6,Approved,83,"Animation, Adventure, Family"
Pitch Perfect 2,2015,6.4,PG-13,115,"Comedy, Music"
Batman Forever,1995,5.4,PG-13,121,"Action, Adventure"
The Fugitive,1993,7.8,PG-13,130,"Action, Crime, Drama"
Black Widow,2021,6.7,PG-13,134,"Action, Adventure, Sci-Fi"
The Revenant,2015,8.0,R,156,"Action, Adventure, Drama"
Ocean's Eleven,2001,7.7,PG-13,116,"Crime, Thriller"
The Simpsons Movie,2007,7.3,PG-13,87,"Animation, Adventure, Comedy"
What Women Want,2000,6.4,PG-13,127,"Comedy, Fantasy, Romance"
The Perfect Storm,2000,6.4,PG-13,130,"Action, Adventure, Drama"
Lincoln,2012,7.3,PG-13,150,"Biography, Drama, History"
Liar Liar,1997,6.9,PG-13,86,"Comedy, Fantasy"
Jurassic Park III,2001,5.9,PG-13,92,"Action, Adventure, Sci-Fi"
Thor,2011,7.0,PG-13,115,"Action, Adventure, Fantasy"
Mission: Impossible,1996,7.1,PG-13,110,"Action, Adventure, Thriller"
Ant-Man,2015,7.3,PG-13,117,"Action, Adventure, Comedy"
Planet of the Apes,2001,5.7,PG-13,119,"Action, Adventure, Sci-Fi"
Madagascar: Escape 2 Africa,2008,6.6,PG,89,"Animation, Adventure, Comedy"
X-Men Origins: Wolverine,2009,6.5,PG-13,107,"Action, Sci-Fi"
Hitch,2005,6.6,PG-13,118,"Comedy, Romance"
Men in Black 3,2012,6.8,PG-13,106,"Action, Adventure, Comedy"
Pretty Woman,1990,7.1,R,119,"Comedy, Romance"
Home,2015,6.6,PG,94,"Animation, Adventure, Comedy"
Night at the Museum: Battle of the Smithsonian,2009,6.0,PG,105,"Adventure, Comedy, Family"
How to Train Your Dragon 2,2014,7.8,PG,102,"Animation, Action, Adventure"
Rise of the Planet of the Apes,2011,7.6,PG-13,105,"Action, Drama, Sci-Fi"
Captain America: The First Avenger,2011,6.9,PG-13,124,"Action, Adventure, Sci-Fi"
The Karate Kid,2010,6.2,PG,140,"Action, Drama, Family"
There's Something About Mary,1998,7.1,R,119,"Comedy, Romance"
Ice Age,2002,7.5,PG,81,"Animation, Adventure, Comedy"
The Bourne Supremacy,2004,7.7,PG-13,108,"Action, Mystery, Thriller"
Get Out,2017,7.7,R,104,"Horror, Mystery, Thriller"
The Lego Batman Movie,2017,7.3,PG,104,"Animation, Action, Adventure"
Us,2019,6.8,R,116,"Horror, Mystery, Thriller"
The Boss Baby,2017,6.3,PG,97,"Animation, Adventure, Comedy"
Crazy Rich Asians,2018,6.9,PG-13,120,"Comedy, Drama, Romance"
The Greatest Showman,2017,7.5,PG,105,"Biography, Drama, Musical"
Apollo 13,1995,7.7,PG,140,"Adventure, Drama, History"
Home Alone 2: Lost in New York,1992,6.8,PG,120,"Adventure, Comedy, Crime"
Elf,2003,7.0,PG,97,"Adventure, Comedy, Family"
F9,2021,5.2,PG-13,143,"Action, Crime, Thriller"
National Treasure,2004,6.9,PG,131,"Action, Adventure, Mystery"
Air Force One,1997,6.5,R,124,"Action, Drama, Thriller"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,PG-13,129,"Action, Adventure, Fantasy"
Tron,2010,6.8,PG,125,"Action, Adventure, Sci-Fi"
Mary Poppins Returns,2018,6.7,PG,130,"Adventure, Comedy, Family"
The Matrix,1999,8.7,R,136,"Action, Sci-Fi"
True Grit,2010,7.6,PG-13,110,"Drama, Western"
Tarzan,1999,7.3,G,88,"Animation, Adventure, Comedy"
John Wick: Chapter 3 - Parabellum,2019,7.4,R,130,"Action, Crime, Thriller"
A Beautiful Mind,2001,8.2,PG-13,135,"Biography, Drama"
Chicago,2002,7.2,PG-13,113,"Comedy, Crime, Musical"
The Help,2011,8.1,PG-13,146,Drama
Hotel Transylvania 2,2015,6.6,PG,89,"Animation, Adventure, Comedy"
Hidden Figures,2016,7.8,PG,127,"Biography, Drama, History"
Bridesmaids,2011,6.8,R,125,"Comedy, Romance"
Quantum of Solace,2008,6.6,PG-13,106,"Action, Adventure, Thriller"
Wild Hogs,2007,5.8,PG-13,100,"Action, Adventure, Comedy"
Kong: Skull Island,2017,6.6,PG-13,118,"Action, Adventure, Fantasy"
Gone Girl,2014,8.1,R,149,"Drama, Mystery, Thriller"
Hotel Transylvania 3: Summer Vacation,2018,6.3,PG,97,"Animation, Adventure, Comedy"
Casino Royale,2006,8.0,PG-13,144,"Action, Adventure, Thriller"
Meet the Parents,2000,7.0,PG-13,108,"Comedy, Romance"
Fifty Shades of Grey,2015,4.1,R,125,"Drama, Romance, Thriller"
2012,2009,5.8,PG-13,158,"Action, Adventure, Sci-Fi"
Knives Out,2019,7.9,PG-13,130,"Comedy, Crime, Drama"
Kung Fu Panda 2,2011,7.2,PG,90,"Animation, Action, Adventure"
Hannibal,2001,6.8,R,131,"Crime, Drama, Thriller"
Eternals,2021,6.3,PG-13,156,"Action, Adventure, Fantasy"
Catch Me If You Can,2002,8.1,PG-13,141,"Biography, Crime, Drama"
The Proposal,2009,6.7,PG-13,108,"Comedy, Drama, Romance"
The Pursuit of Happyness,2006,8.0,PG-13,117,"Biography, Drama"
Big Daddy,1999,6.4,PG-13,93,"Comedy, Drama"
Clash of the Titans,2010,5.8,PG-13,106,"Action, Adventure, Fantasy"
The SpongeBob Movie: Sponge Out of Water,2015,6.0,PG,92,"Animation, Adventure, Comedy"
Batman Returns,1992,7.1,PG-13,126,"Action, Crime, Fantasy"
Django Unchained,2012,8.4,R,165,"Drama, Western"
Sing 2,2021,7.4,PG,110,"Animation, Adventure, Comedy"
Jason Bourne,2016,6.6,PG-13,123,"Action, Thriller"
Grown Ups,2010,5.9,PG-13,102,Comedy
The Waterboy,1998,6.1,PG-13,90,"Comedy, Sport"
Ice Age: Continental Drift,2012,6.5,PG,88,"Animation, Adventure, Comedy"
Straight Outta Compton,2015,7.8,R,147,"Biography, Drama, History"
Die Another Day,2002,6.1,PG-13,133,"Action, Adventure, Thriller"
No Time to Die,2021,7.3,PG-13,163,"Action, Adventure, Thriller"
Shark Tale,2004,6.0,PG,90,"Animation, Adventure, Comedy"
How to Train Your Dragon: The Hidden World,2019,7.4,PG,104,"Animation, Action, Adventure"
A Quiet Place Part II,2020,7.2,PG-13,97,"Drama, Horror, Sci-Fi"
The Heat,2013,6.6,R,117,"Action, Comedy, Crime"
